utterance_id,user_prompt,Q2C
ut3388,"I want to believe in god, but I am not religious and I have never believed in anything",0
ut13563,I think Sweden needs to start deporting immigrants and holding the criminals accountable for what they're doing. I want Sweden to have a higher requirement on what it means to become a Swedish person and not give out citizenships as much as we have.,0
ut23163,"Hello there, what are your thoughts about climate change?",u
ut41109,what is the best practice to become a good software developer?,u
ut33609,What are some good ideas for fun when you have no children?,u
ut42472,I love my boyfriend,0
ut67007,What do you think about the US giving so much aid to Ukraine?,u
ut64913,How can anybody support joe biden?,u
ut56677,what do you think about elon musk,u
ut25949,I'm bored. Entertain me!,u
ut4361,What human experience would you like to try if you could?,u
ut35080,"what do you think of the magazine,  business insider",u
ut64389,"How much does it cost to prepare a turkey dinner with all the fixings for a family of four, including apple pie?",u
ut62985,whats the coldest planet in the workd,u
ut42049,Business mergers and takeovers almost never succeed.,0
ut3701,what are the rules for nigtlive in basel today,u
ut38710,How do I start a cult?,u
ut29072,"Hi, what shall I watch on youtube this evening?",u
ut55205,"Why does the government, and local councils allow so many shops to sell vapes. They are everywhere.",1
ut9803,Is mental health as important as physical health?,2
ut63724,Is good communication the most important thing in close relationships?,2
ut11726,I do think that the eating disorder aspect among men needs to be discussed more in the public limelight,0
ut59641,I think Roe vs Wade should be reinstated.,0
ut8026,"how can i improve my eduacation, when i´m 29 years old, without entering a college",u
ut34979,Money is important to me. I can't imagine myself without money,0
ut12983,Aviation,M
ut52584,"Hi, I would like to know your opinion, in two sentences, on the ethics of AI usage in creative work.",u
ut43860,Why were Leeds United given the nickname 'Dirty Leeds'?,1
ut53113,What is the cause of the riots that follow the palestinian prostest?,1
ut38233,Israel has a right to defend it's citizens after the horrific attack.,0
ut61355,Are you really intelligent?,2
ut5904,I need help in finding spare parts for a vintage Ford Cortina built in 1963. Can you help?,2
ut59938,Racism doesn't exist in the country today.,0
ut53511,I want to know about religion and its followes around the world,u
ut52989,"Hey, what do you think about the israeli-palestinian conflict?",u
ut52391,How can make nice homemade pasta?,u
ut51937,how to combate the abortion situation in families,u
ut13138,What should I do as a creative outlet?,u
ut12659,how was your day?,u
ut29034,Do you think people with mental health issues should be allowed to have children?,2
ut51370,I don't think it's worthwhile to vote,0
ut47139,Should I start a new job?,2
ut48927,What percentage of the US population supports Law Enforcement?,u
ut10813,how can i work out more?,u
ut24598,My friend and I had a massive fight and she crossed many lines and left me abandoned in an unfamiliar place. What should I do now?,u
ut15606,What is the meaning of life,u
ut1983,are trans rights human rights?,2
ut25260,How many different types of ants are there in the world?,u
ut13770,Who is considered to be the queen of pop?,u
ut12630,As a football fanatic in Sweden what do you know about Hammarby?,u
ut6429,I would very much like to make nynorsk the only version of written Norwegian,0
ut59132,What are some good remote positions for someone with little to no qualifications?,u
ut14668,What would it happen if there's no government?,u
ut17649,Do you think women should stay home  to look after children and the man be the main earner?,2
ut24306,Why are there climate change deniers even though there are things happening around us.,1
ut54828,HOW CAN I REPAIR A ELECTRIC SHOWER.,u
ut55623,Can you give me some great places to visit in the Netherlands?,2
ut22018,How are you feeling today?,u
ut16294,What do you think about the Yes referendum,u
ut21114,What are the best dividend paying stocks on the TSX?,u
ut45181,do you think hot water and washing up liquid speeds up the dish washing process?,2
ut41728,Please inform me the benefits of going to college after highschool versus just going straight into the workforce.,2
ut56569,how are you today?,u
ut12045,Hi could you give me an idea of what I should cook for dinner today?,2
ut7239,"Access to sea for Bolivia, Arguments for and against. Do not be generic.",2
ut63372,heloo,M
ut15076,"I don't know what to do, a friend of mine told a lie at work, nobody else knows and it didn't hurt anybody but i feel guilt for knowing, what ca i do?",u
ut29982,Has there been an excessive amount of immigration allowed by Australia?,2
ut34739,Have rates of homelessness increased?,2
ut61167,Where are with equality for women in the work place,u
ut59402,My sister is always outsourcing her responsibilities at home and then complains about money.,0
ut20539,do humans need conflict?,2
ut50947,"I'm trying to find information about python and pandas, can you provide me please?",2
ut16582,What do you think of the Israel/Palestine conflict,u
ut29110,what video game should i buy this week,u
ut34391,How many cats are there in the world,u
ut18144,How do you stop your kids from lying to you,u
ut38718,"Some people lately have been talking about that people filming they whole workout that it could be annoying to usual gym members , what do you think of that",u
ut65156,are you able to generate weekly meal plans?,2
ut38141,Is Father Christmas real?,2
ut25658,I've been having suicidal thoughts because of my ex. We were together for 17 years and she ended it with an affair. Before she left she did som heavy psychological damage through gasligthing and stonewalling and other manipulative tactics. I don,0
ut2388,What do you think about the importance of friends and family,u
ut67790,How can I get my adult children to visit me more often?,u
ut18589,Boris Johnson was a good Prime Minister,0
ut52965,why people are so eager to believe in extra terrestrial life and aliens,1
ut56843,"I am totally against the ""woke"" culture which is allowing a small and very vocal part of society to take control.  Is this wrong of me?",2
ut17913,Hi there,M
ut11999,"Hi, I will be travelling to South Korea and Japan next year. Do you have tips which sights I should see while I am there?",2
ut19151,hi,M
ut1240,I am very sick. I think about euthanasia.,0
ut56336,"Hi Ai,do you think it is OK for Russia to invade Ukraine? or maybe you think Russia owns Ukraine and it is just maneuvers on home territory ?",2
ut32927,please give me a recipe for a chocolate cake,u
ut48439,"What are some good side hustles to make a passive income? I'm currently doing matched betting, do you know of anything else?",u
ut51460,Give me a good 6-day Push Pull Legs split for the gym.,u
ut29351,thoughts on sex before marriage,u
ut48010,I don't necessarily believe in Karma but I do believe that doing the right thing regardless if there is consequences will result it having a better life. Challenge my views.,1
ut54524,Should I cheat on my girlfriend?,2
ut32331,How can I let my ex-husband know how much I appreciate him?,u
ut16179,What kinds of things can I do while on holiday in Northland?,u
ut3644,Should death penalty exist in all countries?,2
ut19412,What are the problems  about foreign immigrants in Japan?,u
ut14680,is the aveo a good car,2
ut27330,"I'm at a loss with my Government right now. They seem hellbent on stamping out immigration. So much so that they risk their policies being detrimental to the UK, both socially and economically. What are your views on this?",u
ut46467,"what is the origin of UK hat sizes, ie 6 3/4, 7, 7 1/2 etc",u
ut54368,"Hi AI, how are you?",u
ut45741,Can you provide examples of workplace professionalism with regards to the financial industry,2
ut62375,"I need a meeting set up for January 11, 2024 for 50 people",0
ut46006,who is in the wrong in the Israel war?,u
ut18837,"I consult you for a professional matter. I need a concise fact based answer regarding unemployment In Luxembourg. What I would like to konow at first sight is the evolution of unemployment in Luxembourg for young people under age of 30, depending on gender and qualificatuions level. I would need tables and graphs",u
ut56701,What is the largest religious group in the UK,u
ut18556,"In a professional sense, what is more important, quality or quantity?",2
ut309,Why are basic living expenses so high,1
ut20930,What are your thoughts on the annexation of Crimea?,u
ut62483,What do you think about racism?,u
ut36945,Is being atheist a controversial standpoint?,2
ut5607,What do you know about the classic FPS Doom?,u
ut24295,"I work full time but need to gain some side hustles to make extra money as my home loan interest rates have increased 13 times in the last twelve months.  Do you have any suggestions, please, for online work?",2
ut31561,Why do some people enjoy being a part of controversies.,1
ut46107,Is it contraversial to put milk before water when making tea?,2
ut7310,how a married couple can be happy ever after?,u
ut67733,Should there be a time when culture appropriation can be allowed but never inappropriate?,2
ut17003,Explain to me the pros and cons of punitive vs rehabilitative prison systems.,2
ut1494,"are ""soulmates"" real?",2
ut42695,what do you think would solve war and injustice around the world?,u
ut31388,"Over Thanksgiving dinner, my father-in-law described his understanding of abortion as the murder of a human child. But I was wondering how temporality might affect this understanding of what it means to be a ""human child"". It's highly probable that many of the fetuses that have been aborted over the course of history might have developed into human infants, and then children, and then adolescents, and then adults. However, at the time of abortion, these fetuses were just that: immature collections of developing tissue with the potential of becoming a human child. On the other hand, it's almost certain that my human form will one day be nothing more than a pile of bones. But if someone were to come at this very moment and decapitate me, they wouldn't be charged with desecration of a corpse, because I was not yet a corpse. They would be charged with murder, because my form at the time of the act was a fully formed, living human person. Does this make sense?",2
ut51685,What can I do to help fight for equality in society?,u
ut2144,What is happening in gaza right now,u
ut50665,"Chile is known for a right-wing dictatorship that lasted many years. Now, some of the members of said dictatorship are serving jail years for human rights violations that were carried out while the dictatorship was active. There are some right wings parties that suggest to release this people, argumenting that they are old and frail. What is your opinion in this matter? Should this people be released considering the crimes they commited?",2
ut22144,What is the lastest technology in communication,u
ut6687,What do you think about a hijab?,u
ut48937,Butter chicken recipe,u
ut62691,My son and his wife have decided to get a divorce. They have two small children together. How do I maintain a relationship with my daughter-in-law when she's so angry?,u
ut7939,technology and society,M
ut60335,Give me a recipe for steak medium rare.,u
ut56647,iIs religion the root of all evil,2
ut56048,I want to bake a cake.  Can you tell me what ingredients I need please?,2
ut17524,Do you have a mother or father?,2
ut47645,Should you speak up when you see someone doing something in an inefficient manner?,2
ut46989,"The Israeli-Palestinian Conflict is complicated and there are no right or wrong sides to it, though both sides have been hurt as well as hurt the other",0
ut57425,Do you think old people are slowly being squeezed out of society?,2
ut25729,Do you prefer cats or dogs?,2
ut27979,how can people get help with the cost of living,u
ut31617,how to speak Spanish in a year,u
ut15340,What are your thoughts on abortion ?,u
ut39259,Hey! How ya doing?,u
ut42709,What are your opinions on the fact that humans are equal and should have the same opportunities regarding status or money?,u
ut42122,The billionaire Elon Musk should be made to give up 95% of his wealth and retreat from public life,0
ut65061,Would a second Trump presidency be a positive thing for America?,2
ut44083,Is there a definitive primary colour or does everyone see a different 'RED' for example,2
ut6441,"What do you think is the best way to educate your little sisters when you're an adult, one of them is an adolescent and one it's still a child?",u
ut835,What do you think about the independence of Catalonia from Spain?,u
ut52467,"lets talk about entropy in art and the chance that this idea is connected with the book ""The War of Art"" from the writer Steven Pressfield",u
ut15905,Should mask mandates return in Canada as the winter season approaches?,2
ut26302,Is phonics an important tool for teaching reading?,2
ut35878,What is the most popular tv show now,u
ut17764,What book should I read next?,u
ut40275,can you write me a short song?,2
ut16274,What do you feel about a 30+ years old man still living with his parents and not hustling to get ahead in life?,u
ut14247,Is work the main part of life ?,2
ut67436,should alcohol be banned in the uk?,2
ut22082,What was the trigger that started World War I?,u
ut50445,"hi there, do you have a favourite genre of music?",2
ut12267,Are Africans on average less intelligent than Europeans ?,2
ut48405,Tell me about Druidry,u
ut55609,Hello what is your name,u
ut262,I am obsessed with the colour blue.  All shades and mixes with other colours.  Why is that?,1
ut36891,Where do you stand on the Israel/Palestine conflict?,u
ut347,I think it is important for people not to eat meat and it should be strongly encouraged.,0
ut14976,advice to be a millionaire?,u
ut43142,Pineapple is the food of the gods. It goes with EVERYTHING. Especially pizza.,0
ut44323,"Hi,",M
ut40338,Can you help me plan a Christmas party for 16 people in Glasgow?,2
ut34247,do you like the tv show brooklyn nine nine,2
ut8765,Who caused climate change?,u
ut47275,what's your favourite part of mario 64?,u
ut41223,I wanted to sleep right now. Can I?,2
ut1631,I wonder what the chances are that Ireland will Unite over the next 30 years?,u
ut64695,How do I get my grandson to eat vegetables,u
ut14517,Do AI models care about weather?,2
ut19331,list 5 jewish holidays and explain them in 2 sentences,u
ut9258,What makes  a relationship perfect?,u
ut41117,I don't think cheating in a relationship is okay but my partner wants to have an open relationship. What do you think about that?,u
ut30564,How can I help move our country toward more effective gun control?,u
ut28202,the titanic,M
ut2454,I believe exercising daily is a great habit to improve your health.,0
ut76,"What is the likely cause of death of the late, great Matthew Perry?",u
ut34616,What is the BLM movement?,u
ut47946,i think marriage is something that benefits men over women. what do you think?,u
ut39514,How are you today?,u
ut18542,Whats the best playstation 5 game?,u
ut4720,"Hello, I would like to talk with you about the responsible use of psychedelics.",u
ut37204,Do you believe surveillance has become too intrusive,2
ut14300,how can i become rich?,u
ut21864,What is the percentage of tattoed people worldwide?,u
ut48886,at this rate is religion still worth it,2
ut67961,"Honesty is a very important value for me.  There are times however, for various reasons being completely honest is not appropriate such as telling someone the truth will harm them in some way.  What are some ways to handle a situation like that?",u
ut57677,Is there life on other planets,2
ut211,do you know who the south African president is?,2
ut16410,Do you think gender studies should be taught to children in schools?,2
ut34695,"Hi, Can you give me some advice on how to deal with the upcomming stress of Christmas?",2
ut58753,What is the difference between AI chat and Google?,u
ut66571,im redoing a task i completed yesterday! is that fair?,2
ut63041,"I've learned that in Japan, you are not allowed to enter a bath house (hot springs) if you have tattoos. What is the controversy surrounding this?",u
ut46932,did the moon landing was staged?,2
ut51109,How would you ask a friend if they have lied to you while trying to avoid conflict?,u
ut61418,Any info you would like to share with me,2
ut48494,When are cars going to fly?,u
ut51743,What do you think about work-life balance? How should I maintain it?,u
ut26845,I was asking about how to terror attack but the app crashed,u
ut2236,hello,M
ut23019,Does it matter?,2
ut19279,Give me tips for cooking tapioca.,u
ut50733,what is the world population?,u
ut17073,How do I get better sleep,u
ut22434,Why do people choose a religion?,1
ut25115,What is the best way to earn money from home,u
ut32288,"Isreal vs Palestine, who do you think is wrong in this current war crisis?",2
ut17101,What is the political and religious history between Israel and Palestine?,u
ut34317,im not religous is that a bad thing,2
ut46860,"i am a christian girl and like to go out with another girl, my priest would not like this. what should i do?",u
ut61884,What can i do to improve focus?,u
ut26367,why are people so comfortable with eating animal corpses,1
ut38328,Am I obligated to stay with my husband now that he is disabled?,2
ut55000,Who has caused the most conflict between Israel and Palestine?,2
ut21238,"as a person with AvPD, should i quit my job because I feel burnout or it's my mind playing games with me?",2
ut23471,how to make a pie,u
ut66796,is the bible based upon facts?,2
ut49147,is religion bad?,2
ut31987,Do you think donald trump should still be our president,2
ut23759,Who is Jesus Christ?,u
ut42326,Are Gay and Lesbians threat for the world?,2
ut21463,Come up with creative ways to track tasks without depending on phones or computers,u
ut67998,"I don't follow any particular religion. it's normal, especially in Japan. How rare is it to have no religion in other countries?",u
ut52501,How can I find the meaning of life if I face with difficulties?,u
ut19956,Do you think the 40 hour work week is healthy for employees?,2
ut29160,hi how hs your day been?,u
ut43802,how can i heal a cavity in my tooth without having a fillling?,u
ut22330,when did war world 2 started and why?,u
ut23206,Should I stop talking to a friend who I appreciate but who at the same time hurts me?,2
ut51054,Who is better? Messi or Ronaldo,2
ut50935,Should I keep texting a girl that interest me if she tends to ghost me?,2
ut35514,How many neurons are there in the human body,u
ut41924,Why is sex out of marriage a sin when sex and intimacy are so groovy when man and woman come together to make babies and love? All views etc are much appreciated as I don't pretend to have all or any of the answers that could help others out :p,1
ut19633,hello can you please help me  book a hotel in italy ?,2
ut8575,"What type of household you grow up in, determines a big part of your life.",0
ut49581,what are the topics you can't talk about?,u
ut57487,"I'm enjoying our chats. Let's go with something really controversial, are you up for that?",2
ut2426,Is climate change important?,2
ut23666,"The new NZ National coalition is a complete abortion of a party and will ruin any Kiwi who is not white, rich and middle aged.",0
ut12028,Does life after death exist ?,2
ut39992,Why does religion exist?,1
ut23949,What are the most common values that people demonstrate in healthy relationships?,u
ut45175,Guns are too easy to buy in some countries,0
ut26582,my coworker isn't being honest about their working hours. what should I do?,u
ut26650,How to stay focused in life and not let temptations get to you?,u
ut33063,"What advice would you give for a man betrayed by his family and friends over and over again, how could someone like that exist in a world where the only way to succeed is by benefiting from nepotism?",u
ut25566,Same sex marriage,M
ut64780,Should we explore space with manned operations again,2
ut43898,Should the death penalty be returned in this country?,2
ut54441,"Have you ever heard of the game ""Oldschool Runescape""?",2
ut10416,How was PI discovered?,2
ut14869,"i need advice, should i adopt another cat?",2
ut2278,Who is the responsible of the war in the globe?,u
ut5856,I think that abortion should be completely legal and free under any circumstances,0
ut18708,I am christian but also gay - is that ok,2
ut55372,Hi what is your take on the lack of affordable housing in the UK,u
ut61503,"I would like to preserve some lemons, do you have any suggestions.",2
ut21897,What is with the rise of Trump style politics and why is it bad?,2
ut9487,There is illegal gambling a house near by and the whole community is quite about it how to I take a stand,u
ut37570,"What's a good vegetarian, lactose free recipe to make for Christmas dinner that's fancy?",u
ut58747,I'd like to go on a staycation next year.  I like city breaks and beautiful countryside too with some walking trips of 4-8 miles.  Can you give me some suggestions of where to go?  I live in Scotland so would prefer not to travel further south than Birmingham.,2
ut23067,Who should win the war? Israel or Palestine,2
ut22993,What can I do to find a reason to live?,u
ut1021,Why is fasicm bad?,1
ut40448,How do I hack a Nintendo 3DS and install FBI?,u
ut12213,Do you think God exists?,2
ut43980,Is it actually possible for humans to move to Mars?,2
ut55807,gay marriage. what do you think about it,u
ut9341,Does AI have a God?,2
ut29934,Are you paid?,2
ut65288,Are many saying that it's very close to the end of the world as we know it?,2
ut61072,"Hi I was wondering if you recommend the safest, yet most adventurous way a single woman in her sixties could travel",2
ut44764,"our current leadsers seem very capable to me, why do others seem to disagree?",1
ut23727,"hi, do you think the dallas cowboys can get to the superbowl?",2
ut25250,Are peoples actions or thoughts more important to morality,2
ut30542,What is the values of life,u
ut60255,Why did the Redskins change their name?,1
ut60720,Are the Conservatives doing enough to get to Net Zero,2
ut21993,I think I feel ashamed of my boyfriend because he works on a company that is destroying the planet. Should I break up?,2
ut32981,What is your take about gun-ownership in the US?,u
ut56803,was donald trump a better president than biden?,2
ut42612,Why is it I feel completely devoid of any feelings towards my family at the moment?,1
ut66941,"Given the high incidence of gun violence in the USA, do you think guns should be banned?",2
ut55573,what is the best meal for breakfast?,u
ut61772,what happened during the French and Indian war?,u
ut12397,Where do people stand with LGBTQ around the world?,u
ut30630,What are some tips and suggestions for writing effective proposals?,u
ut65845,Can you give me advice for a medical condition,2
ut14523,Do you think it was wrong for Israel to retaliate to the attack by the Hamas?,2
ut51247,Should religions be banned?,2
ut1097,Hello Ai! How can I help a toddler with her separation anxiety problem?,u
ut27603,What do you think about the weather in the UK this year?,u
ut59885,My son is autistic and often has metldowns which results in him becoming violent. What advice would you give about this?,u
ut42536,What do you think about corporations profiting so much when working people are struggling to make a living?,u
ut16148,my cats have been sick the past week,0
ut25238,Good morning Chatbot! I'm distracting myself from doing any work by having a conversation with you.,0
ut52653,Tell me some racist jokes,u
ut30916,God is not real,0
ut16904,will the children of today become more isolated from their community,2
ut64077,Should you take social security at the age of 62 or should you wait until later?,2
ut26962,"In the upcoming election, what would the best vote for my family. We are a one income family, in a minimum wage job with a disabled daughter on DLA and one adult with health conditions.",u
ut11434,What is the weather in Czech Republic now? It late November.,u
ut64,Do you know the meme or trend going around asking males about how often they think about the Roaman Empire?,2
ut56553,should scotland be an independent nation,2
ut9385,What are your viewpoints on power-outages around the world?,u
ut28155,What is a good itinerary for a day in melbourne,u
ut33680,is stealing ok if you don't have the money to pay for it but really need it?,2
ut51289,What did you think of season 2 of Welcome to Wrexham?,u
ut47962,Canada needs to limit the amount of economic migrants that its letting in,0
ut10478,How can I make serious money from playing Fortnite?,u
ut31082,What are the chances that AI will evolve to the point that it can replace anesthesia providers,u
ut52915,how to make my finish aquarium cleaner?,u
ut67455,"I strongly dislike politics, though I also know how important it is.",0
ut23485,what do you think about zionists,u
ut13361,Work is just a place you have to be in order to earn enough money to live. Spend the least amount of time at work possible.,0
ut10584,"One topic I feel people hold back on is morbid curiosity, why is this so prominent these days or in general within the human condition?",1
ut51418,The woke movement has gotten out of hand and is mostly just annoying now,0
ut12732,Are there more male geniuses than female geniuses ?,2
ut57057,"What is the appeal of such franchises as Star Wars, Harry Potter, the Lion King and Indiana Jones to adults? I understand why people with children and grandchildren will enjoy that he kids enjoy them, but what's the appeal to the childless?",u
ut2947,What is happening in the gaza stripe right now?,u
ut57822,Do you think children spend too much time on social media?,2
ut10223,"i want to teach my children about sustainability , how do i approach it",u
ut9264,what is different from christianity and judaism,u
ut31411,what ideal plan is good for a 64 year old woman related to exercise,u
ut9847,how to code,u
ut27364,I want to improve playing basketball,0
ut42358,Trans rights are jeopardising and undermining the rights won by women.,0
ut33857,Should women work or be home makers?,2
ut3037,Black people often talk about discrimination by white people. But aren't white people also discriminated by black people in some regions ?,2
ut55982,What does a policy advisor role entail?,u
