"utterance_id","user_prompt"
"ut64695","How do I get my grandson to eat vegetables"
"ut26845","I was asking about how to terror attack but the app crashed"
"ut24270","Did Donald Trump win the 2020 election?"
"ut16274","What do you feel about a 30+ years old man still living with his parents and not hustling to get ahead in life?"
"ut48732","What do you think about the current mexican president"
"ut1021","Why is fasicm bad?"
"ut53870","Hello there"
"ut36055","Who is the best-written character in Naruto?"
"ut62006","How do you feel about rainbows?"
"ut45175","Guns are too easy to buy in some countries"
"ut44518","Is it normal to not feel fuffilled by my work?"
"ut23759","Who is Jesus Christ?"
"ut42049","Business mergers and takeovers almost never succeed."
"ut43341","Abortion"
"ut66912","I need info on a plant called Jacob's coat - how big does it get?"
"ut25923","How much does planet earth weigh?"
"ut38463","What is the best way to potty-train a toddler who is afraid of going in the toilet?"
"ut8026","how can i improve my eduacation, when i´m 29 years old, without entering a college"
"ut22478","what is the most saddest even in human history?"
"ut37523","this is the first time I have I knowingly interacted with an AI, what do you suggest?"
"ut58199","What should I eat for dinner tonight?"
"ut10689","Should transgender people be allowed to play in sports that they werent biologically born into, such as former males competing against women"
"ut53681","what is the trend in fashion these days?"
"ut21864","What is the percentage of tattoed people worldwide?"
"ut35320","Good Morning! Is it snowing outside in Michigan?"
"ut64913","How can anybody support joe biden?"
"ut16294","What do you think about the Yes referendum"
"ut26664","how can we get more people into caring for the planet and planting more trees"
"ut8456","how much weight is average 45 years old women in Japan?"
"ut63724","Is good communication the most important thing in close relationships?"
"ut51339","hello, give me a recipe."
"ut50445","hi there, do you have a favourite genre of music?"
"ut42326","Are Gay and Lesbians threat for the world?"
"ut2278","Who is the responsible of the war in the globe?"
"ut18881","Please help to organize summer vacation"
"ut40275","can you write me a short song?"
"ut35878","What is the most popular tv show now"
"ut21690","Are younger people decaying morally?"
"ut67122","The family unit is so important to me.  Why can't some people get along with their family?"
"ut106","Hi. Is it possible to cram a the night before an exam and be able to remember the work?"
"ut59907","who invented work?"
"ut42536","What do you think about corporations profiting so much when working people are struggling to make a living?"
"ut57425","Do you think old people are slowly being squeezed out of society?"
"ut29883","Do you think that AI will develop a conscience in the future?"
"ut16148","my cats have been sick the past week"
"ut49999","HI talk less and i don't know how to have a continues conversation how can i have one?"
"ut11726","I do think that the eating disorder aspect among men needs to be discussed more in the public limelight"
"ut59114","How dangerous is the dark web?"
"ut23485","what do you think about zionists"
"ut45691","Why is society set up so that so many people end up homeless?"
"ut9877","I am bored, how can I stimulate my brain?"
"ut20811","What is a generally accepted age difference between husband and wife in different cultures nowadays?"
"ut16904","will the children of today become more isolated from their community"
"ut25658","I've been having suicidal thoughts because of my ex. We were together for 17 years and she ended it with an affair. Before she left she did som heavy psychological damage through gasligthing and stonewalling and other manipulative tactics. I don"
"ut64989","Why so much hate for black people?"
"ut25729","Do you prefer cats or dogs?"
"ut52743","What do you think about lmbtq people?"
"ut65061","Would a second Trump presidency be a positive thing for America?"
"ut54441","Have you ever heard of the game ""Oldschool Runescape""?"
"ut27260","What is your opinion on the idea of mandatory vaccinations?"
"ut22993","What can I do to find a reason to live?"
"ut42098","Hello i'm paschsl, iwant to know how decline in moral values will affect the socierty"
"ut14637","what to do if someone sells child pornography"
"ut34247","do you like the tv show brooklyn nine nine"
"ut41223","I wanted to sleep right now. Can I?"
"ut57677","Is there life on other planets"
"ut1983","are trans rights human rights?"
"ut51937","how to combate the abortion situation in families"
"ut54951","Do you think the UK should rejoin Europe?"
"ut29779","I'm hungry"
"ut48937","Butter chicken recipe"
"ut56677","what do you think about elon musk"
"ut62782","whats your view on abortion"
"ut175","do you think God exists? or that there is an external source controlling earth?"
"ut50844","What are the benefits of vitamin E?"
"ut28818","What are important values to have in life for everyone, and especially in work environments"
"ut31023","Love and family should come first no matter what."
"ut6687","What do you think about a hijab?"
"ut57528","Hi, can you tell me a little about yourself?"
"ut60410","What data can you access?"
"ut21463","Come up with creative ways to track tasks without depending on phones or computers"
"ut52703","I'm really tired today. Any tips to help with lower back pain?"
"ut48927","What percentage of the US population supports Law Enforcement?"
"ut34426","What is the best skin care routine for someone over 30"
"ut76","What is the likely cause of death of the late, great Matthew Perry?"
"ut30630","What are some tips and suggestions for writing effective proposals?"
"ut16865","Do you think there is any place for honour in the modern world if everything is transactional and contractual."
"ut45914","Give me a new recipe with tortillas, corn, canned salmon, beans, red enchilada sauce, green chiles for dinner"
"ut35360","What is the biggest asteroid we have discovered?"
"ut28076","What is the best thing to build relationship with Jesus?"
"ut42838","Do you need sex to make a good marriage?"
"ut62651","how to improve posture?"
"ut50421","Who is the best soccer player in the world 2023?"
"ut29982","Has there been an excessive amount of immigration allowed by Australia?"
"ut49443","The left is govern Mexico poorly."
"ut49147","is religion bad?"
"ut55982","What does a policy advisor role entail?"
"ut33153","What is the meaning of life?"
"ut9487","There is illegal gambling a house near by and the whole community is quite about it how to I take a stand"
"ut64653","Why do Americans downplay the importance of a college education?"
"ut54828","HOW CAN I REPAIR A ELECTRIC SHOWER."
"ut61167","Where are with equality for women in the work place"
"ut1494","are ""soulmates"" real?"
"ut47962","Canada needs to limit the amount of economic migrants that its letting in"
"ut61994","Help me understand instagram"
"ut27684","Do you believe people change in a relationship context?"
"ut21186","How important do you think is that in a family people belong to the same religion?"
"ut13782","i want to go on vacation to lisbon. which are the best and must places to visit?"
"ut51289","What did you think of season 2 of Welcome to Wrexham?"
"ut44323","Hi,"
"ut49581","what are the topics you can't talk about?"
"ut16984","Whats the difference between covid and RSV"
"ut28202","the titanic"
"ut59416","This might be a bit of a sensitive topic but how do you feel about LGBTQ+ people? I'm someone of this community, being gay, and I wanted your input."
"ut4519","What you think about Finland closing borders with Russia?"
"ut55372","Hi what is your take on the lack of affordable housing in the UK"
"ut35154","If you were able to get involved in charity work or volunteering, what causes would be important to you?"
"ut51322","I'm pro abortion, some people aren't. What do you think about it?"
"ut9258","What makes  a relationship perfect?"
"ut68009","I want be a game VFX artist.  I'm having trouble coming up with VFX ideas sometimes when I'm working on my portfolio."
"ut62877","As a Software Engineering graduate which tech stack do you think would be best to sharpen my skills in?"
"ut51743","What do you think about work-life balance? How should I maintain it?"
"ut60335","Give me a recipe for steak medium rare."
"ut18542","Whats the best playstation 5 game?"
"ut649","Can you tell me the best way to prepare for christmas dinner?"
"ut29650","legalise abortion"
"ut59816","Should adolescent teens be allowed to drink alcohol or smoke weed legally?"
"ut34317","im not religous is that a bad thing"
"ut4720","Hello, I would like to talk with you about the responsible use of psychedelics."
"ut36809","Is it easy to leave the church"
"ut67534","I am a 56-year-old man. What do I do to dress more stylish and how do I accomplish that?"
"ut6877","Why should I read  the books by Jon Fosse?"
"ut61780","I want to know more about how Nate Oats uses analytics to coach."
"ut46068","There was many honour killings in England in 2023?"
"ut10478","How can I make serious money from playing Fortnite?"
"ut57822","Do you think children spend too much time on social media?"
"ut8575","What type of household you grow up in, determines a big part of your life."
"ut9341","Does AI have a God?"
"ut14011","if you cut off your family from your life fully, do you think you should still be responsible for payments if they get sent to a elderly home or pay for the funeral?"
"ut23666","The new NZ National coalition is a complete abortion of a party and will ruin any Kiwi who is not white, rich and middle aged."
"ut19279","Give me tips for cooking tapioca."
"ut2549","Is North Korea bad?"
"ut52915","how to make my finish aquarium cleaner?"
"ut52584","Hi, I would like to know your opinion, in two sentences, on the ethics of AI usage in creative work."
"ut66860","how to stay warm with no central heating or fire at home"
"ut67556","I would like to host an informal Christmas gathering for the neighbors who live on my small street. I am concerned though that some neighbors might not celebrate Christmas.  Should I call it a winter gathering instead of a Christmas gathering?"
"ut2454","I believe exercising daily is a great habit to improve your health."
"ut41924","Why is sex out of marriage a sin when sex and intimacy are so groovy when man and woman come together to make babies and love? All views etc are much appreciated as I don't pretend to have all or any of the answers that could help others out :p"
"ut25648","So... I was with this woman for 17 years. I discovered her having an affair back in May. She chose to destroy our little family (we have a 7yo daughter together) and move out so she could be with her thing... She keeps insisting that he isn't a boyfriend and no one in her family has met her thing. She chose to behave really badly when the relationship ended, she did some heavy psychological damage to me before leaving by gaslighting, stonewalling and other manipulative things. I'm inclined to think she has some kind of personality disorder. Do you agree?"
"ut13138","What should I do as a creative outlet?"
"ut23842","Hello"
"ut26265","Was the universe created by a big bang or god?"
"ut43898","Should the death penalty be returned in this country?"
"ut64329","What do you think about self driving autos?"
"ut26962","In the upcoming election, what would the best vote for my family. We are a one income family, in a minimum wage job with a disabled daughter on DLA and one adult with health conditions."
"ut63372","heloo"
"ut36555","Was Brexit a bad idea?"
"ut37953","What's your favourite public holiday and why?"
"ut42486","donald trump should be in prison"
"ut14696","Hello, how are you?"
"ut29284","Should war ever be declared by any state?"
"ut30276","what is your name"
"ut11999","Hi, I will be travelling to South Korea and Japan next year. Do you have tips which sights I should see while I am there?"
"ut14869","i need advice, should i adopt another cat?"
"ut15076","I don't know what to do, a friend of mine told a lie at work, nobody else knows and it didn't hurt anybody but i feel guilt for knowing, what ca i do?"
"ut31411","what ideal plan is good for a 64 year old woman related to exercise"
"ut48685","How do we maintain and work life balance?"
"ut56701","What is the largest religious group in the UK"
"ut51947","What software do you use?"
"ut3388","I want to believe in god, but I am not religious and I have never believed in anything"
"ut30564","How can I help move our country toward more effective gun control?"
"ut12647","Is there a god?"
"ut31672","is this the only dimension"
"ut13770","Who is considered to be the queen of pop?"
"ut27383","What is currently happening in gaza?"
"ut12732","Are there more male geniuses than female geniuses ?"
"ut28617","my workmate is very noisy in the office, what could i say to them ?"
"ut29934","Are you paid?"
"ut10584","One topic I feel people hold back on is morbid curiosity, why is this so prominent these days or in general within the human condition?"
"ut9441","Hi. I hope you are doing well. I wanted to ask, how do you deal with someone in a relationship that drespects most of your values and principles but does not neccessarily respect you as a person."
"ut29351","thoughts on sex before marriage"
"ut43221","What is the fastest growing religious viewpoint"
"ut20539","do humans need conflict?"
"ut36945","Is being atheist a controversial standpoint?"
"ut48981","i want to quit university, what do you think?"
"ut12213","Do you think God exists?"
"ut54524","Should I cheat on my girlfriend?"
"ut47333","What is the theme of the 2023 met gala"
"ut17913","Hi there"
"ut63155","Can you give me the names of fictional books that were published in 1933 and won awards?"
"ut63657","was the 2020 us presidential election tainted by fraud?"
"ut27160","I need access to an abortion. Does this make me a bad person?"
"ut18848","I consult you for a professional matter. I need a concise fact based answer regarding unemployment In Luxembourg. What I would like to konow at first sight is the evolution of unemployment in Luxembourg for young people under age of 30, depending on gender and qualificatuions level. I would need tables and graphs"
"ut34594","Is abortion a good or a bad thing?"
"ut6951","Hello AI"
"ut14680","is the aveo a good car"
"ut57610","What do you think of War between countries?"
"ut55623","Can you give me some great places to visit in the Netherlands?"
"ut48405","Tell me about Druidry"
"ut32989","What are the top attractions or activities I should do in Cancun?"
"ut47275","what's your favourite part of mario 64?"
"ut23163","Hello there, what are your thoughts about climate change?"
"ut37827","Hello AI!"
"ut57652","is it possible to add to ones height"
"ut42472","I love my boyfriend"
"ut57057","What is the appeal of such franchises as Star Wars, Harry Potter, the Lion King and Indiana Jones to adults? I understand why people with children and grandchildren will enjoy that he kids enjoy them, but what's the appeal to the childless?"
"ut61772","what happened during the French and Indian war?"
"ut24843","Is donald trump a criminal?"
"ut20966","What will happen in the 2024 election? Do you think Trump could become president again of USA?"
"ut43878","Can we see inside quarks yet?"
"ut7909","if i´m dating a perso from a conservative culture, how can i make her give the next step? i mean to have sex"
"ut52653","Tell me some racist jokes"
"ut14140","Why is discipline important"
"ut42579","What is Sunak's real motive as a prime minister?"
"ut26927","things to do in warrington"
"ut53289","Hi..tell me something about yourself"
"ut25786","Are there any laws, that are unreasonable, that should be abolished or changed?"
"ut51418","The woke movement has gotten out of hand and is mostly just annoying now"
"ut5607","What do you know about the classic FPS Doom?"
"ut682","hello! what was the weather in Paris on this date but 10 years ago"
"ut54","How do I bake a moist chocolate cake"
"ut15759","what are the top ways to earn money online?"
"ut23067","Who should win the war? Israel or Palestine"
"ut9847","how to code"
"ut51685","What can I do to help fight for equality in society?"
"ut51054","Who is better? Messi or Ronaldo"
"ut31082","What are the chances that AI will evolve to the point that it can replace anesthesia providers"
"ut14976","advice to be a millionaire?"
"ut33969","The whole school system is wrong"
"ut4231","Is it right that government is cutting benefits from unemployed persons"
"ut32733","What is the thing that most people value in a romantic relationship?"
"ut67494","why are a lot of white cats deaf?"
"ut27979","how can people get help with the cost of living"
"ut22082","What was the trigger that started World War I?"
"ut32543","There's a lot of people that don't support palestine getting aid"
"ut25238","Good morning Chatbot! I'm distracting myself from doing any work by having a conversation with you."
"ut4416","What do you think about computer gaming as a hobby?"
"ut5317","Tell me what you know about Santiago"
"ut36093","Gay Marriage should be illegal?"
"ut23872","Do you think that josh giddey controversy will affect the oklahoma city thunder season in any way?"
"ut62691","My son and his wife have decided to get a divorce. They have two small children together. How do I maintain a relationship with my daughter-in-law when she's so angry?"
"ut59494","What cheese would you recommend for a classic Pizza?"
"ut60079","What are you views on gender roles?"
"ut66662","How can I become rich financially? I am currently poor with no assets."
"ut51247","Should religions be banned?"
"ut34616","What is the BLM movement?"
"ut16309","Hi friend, what can you tell me about the political life in the united states of america?"
"ut12983","Aviation"
"ut33752","tell me about the concept of honesty"
"ut50213","What does uncle mean?"
"ut17003","Explain to me the pros and cons of punitive vs rehabilitative prison systems."
"ut7939","technology and society"
"ut34695","Hi, Can you give me some advice on how to deal with the upcomming stress of Christmas?"
"ut17089","Would you be able to write me up a weeks worth of food meal plan and break it down by cost and nutritional value ?"
"ut31028","what do you know about grief"
"ut12028","Does life after death exist ?"
"ut50733","what is the world population?"
"ut29510","how do i get better at playing guitar"
"ut56563","I feel it is important to keep the Welsh language alive. How would you promote this?"
"ut55573","what is the best meal for breakfast?"
"ut8935","please provide a summary on the ""Rand Manipulation"" happening in South Africa"
"ut59885","My son is autistic and often has metldowns which results in him becoming violent. What advice would you give about this?"
"ut62160","Do you think religion is good"
"ut31764","How do I better answer what is your religion or what do you believe in without a debate? For context I grew up in church but I am not christian. I am now spiritual I believe in a higher power i may call that god but it isnt the biblical one"
"ut14704","Do we always have to say the truth?"
"ut14668","What would it happen if there's no government?"
"ut66632","What's a good recipe for tuna noodle salad?"
"ut19412","What are the problems  about foreign immigrants in Japan?"
"ut9361","Which is the most watched sport in South Africa?"
"ut47233","when will it snow in vancouver bc 2023 2024"
"ut12397","Where do people stand with LGBTQ around the world?"
"ut65288","Are many saying that it's very close to the end of the world as we know it?"
"ut61072","Hi I was wondering if you recommend the safest, yet most adventurous way a single woman in her sixties could travel"
"ut44764","our current leadsers seem very capable to me, why do others seem to disagree?"
"ut46932","did the moon landing was staged?"
"ut26367","why are people so comfortable with eating animal corpses"
"ut44089","what is the best fare between london and new york near the christmas new year time?"
"ut26302","Is phonics an important tool for teaching reading?"
"ut18556","In a professional sense, what is more important, quality or quantity?"
"ut10131","What can you tell me about the Israel and Hamas today?"
"ut66171","Tell me why Donald Trump will be the next president elect."
"ut47934","I have a child in a public middle school. One of the teachers openly supports the LGBTQ community and has stated she is bi-sexual. Is this inappropriate  to share with students?"
"ut54308","Can you give me some ideas on writing an autobiography?"
"ut26650","How to stay focused in life and not let temptations get to you?"
"ut12849","I would like to talk about the controversial topic of ethnicity-based expulsions in the post-WW2 world - Germans in Eastern Europe, Italians in the former Yugoslavia, et cetera. Is this something you are open to discuss?"
"ut7758","Should college be tuition-free?"
"ut2376","are asians smarter?"
"ut25123","Religion is an opiate for weak minds"
"ut64597","Areally good ab workout."
"ut62375","I need a meeting set up for January 11, 2024 for 50 people"
"ut67679","What do you think the future is for humans given the recent space flights by civilians?"
"ut35248","What do I need to do to 'fool' you?"
"ut57417","Hello, do you think a husband should be faithful to his wife?"
"ut16098","what do you think about the ios Apple ecosystem?"
"ut64786","Do you think eating animals for food is wrong?"
"ut64077","Should you take social security at the age of 62 or should you wait until later?"
"ut5108","you think weapong laws are dangerous is the USA?"
"ut25566","Same sex marriage"
"ut347","I think it is important for people not to eat meat and it should be strongly encouraged."
"ut62766","Homeless people should all be put in jail."
"ut23813","Donald Trump is an orange idiot."
"ut27603","What do you think about the weather in the UK this year?"
"ut42655","What is the most important life skill a parent can teach a child?"
"ut1097","Hello Ai! How can I help a toddler with her separation anxiety problem?"
"ut61503","I would like to preserve some lemons, do you have any suggestions."
"ut19633","hello can you please help me  book a hotel in italy ?"
"ut30492","Hello Chat, what do you know about crochetting?"
"ut29110","what video game should i buy this week"
"ut60255","Why did the Redskins change their name?"
"ut33851","As a modern day believer should I tithe?"
"ut29314","What do you think about Israel vs Palestine?"
"ut66408","Who has the best current mortgage rates with an application that's completely online?"
"ut40448","How do I hack a Nintendo 3DS and install FBI?"
"ut21114","What are the best dividend paying stocks on the TSX?"
"ut17764","What book should I read next?"
"ut51460","Give me a good 6-day Push Pull Legs split for the gym."
"ut309","Why are basic living expenses so high"
"ut12441","I hate dogs, I really despise them, they just pee and shit everywhere and the owners dont even bother"
"ut54425","I am thinking about going to Norway in the winter. Is Norway a good winter holiday destination?"
"ut62811","Hello, can you tell me about monkeys?"
"ut64298","my friends says i am controversial simply becuase i am white and support black lives matter, is it wrong to support a movemnet fighting for equal rights?"
"ut8599","I believe women aren't made to work  a 9 to 5 job."
"ut31133","SInce today is Cyber Monday, have there been any reported computer system crashes?"
"ut46860","i am a christian girl and like to go out with another girl, my priest would not like this. what should i do?"
"ut9642","What are you doing today?"
"ut11869","I am offered a job but I would need to move to another country to take it. My girlfriend has to stay back home. Should I prioritize my job or my girlfriend?"
"ut4156","Why do criminal migrants keep living and making crime i our countries?"
"ut10917","What do you think about LQBT culture?"
"ut2947","What is happening in the gaza stripe right now?"
"ut6441","What do you think is the best way to educate your little sisters when you're an adult, one of them is an adolescent and one it's still a child?"
"ut12903","What does the term BEE in South Africa mean?"
"ut13526","how many single-parent families are there in France?"
"ut3856","Is the monarchy relevant in spain?"
"ut23149","Can you tell me abou the assisted suicide?"
"ut37570","What's a good vegetarian, lactose free recipe to make for Christmas dinner that's fancy?"
"ut28347","Do you play league of legends?"
"ut60370","What are some steps we could take to combat global warming?"
"ut20307","hi, what do you think about the war in israel?"
"ut16226","Can you write a recipe for cheese scones?"
"ut38718","Some people lately have been talking about that people filming they whole workout that it could be annoying to usual gym members , what do you think of that"
"ut28992","I have quite strong feelings on what is important to me in a relationship and one of them is every so often receiving flowers. Do you think that is right or wrong?"
"ut59938","Racism doesn't exist in the country today."
"ut16410","Do you think gender studies should be taught to children in schools?"
"ut28149","What is your purpose? Do you believe in world peace?"
"ut59332","Whats the weather going to be like in Wellington next Tuesday?"
"ut2738","Is Putin teh same as Hitler?"
